"dx","mechmaj","mechmin","intent"
"E8102","Motor vehicle traffic","Motorcyclist","Unintentional"
"E8103","Motor vehicle traffic","Motorcyclist","Unintentional"
"E8104","Motor vehicle traffic",NA,"Unintentional"
"E8105","Motor vehicle traffic",NA,"Unintentional"
"E8106","Motor vehicle traffic","Pedal cyclist","Unintentional"
"E8107","Motor vehicle traffic","Pedestrian","Unintentional"
"E8108","Motor vehicle traffic",NA,"Unintentional"
"E8109","Motor vehicle traffic","Unspecified","Unintentional"
"E8110","Motor vehicle traffic","Occupant","Unintentional"
"E8111","Motor vehicle traffic","Occupant","Unintentional"
"E8112","Motor vehicle traffic","Motorcyclist","Unintentional"
"E8113","Motor vehicle traffic","Motorcyclist","Unintentional"
"E8114","Motor vehicle traffic",NA,"Unintentional"
"E8115","Motor vehicle traffic",NA,"Unintentional"
"E8116","Motor vehicle traffic","Pedal cyclist","Unintentional"
"E8117","Motor vehicle traffic","Pedestrian","Unintentional"
"E8118","Motor vehicle traffic",NA,"Unintentional"
"E8119","Motor vehicle traffic","Unspecified","Unintentional"
"E8120","Motor vehicle traffic","Occupant","Unintentional"
"E8121","Motor vehicle traffic","Occupant","Unintentional"
"E8122","Motor vehicle traffic","Motorcyclist","Unintentional"
"E8123","Motor vehicle traffic","Motorcyclist","Unintentional"
"E8124","Motor vehicle traffic",NA,"Unintentional"
"E8125","Motor vehicle traffic",NA,"Unintentional"
"E8126","Motor vehicle traffic","Pedal cyclist","Unintentional"
"E8127","Motor vehicle traffic","Pedestrian","Unintentional"
"E8128","Motor vehicle traffic",NA,"Unintentional"
"E8129","Motor vehicle traffic","Unspecified","Unintentional"
"E8130","Motor vehicle traffic","Occupant","Unintentional"
"E8131","Motor vehicle traffic","Occupant","Unintentional"
"E8132","Motor vehicle traffic","Motorcyclist","Unintentional"
"E8133","Motor vehicle traffic","Motorcyclist","Unintentional"
"E8134","Motor vehicle traffic",NA,"Unintentional"
"E8135","Motor vehicle traffic",NA,"Unintentional"
"E8136","Motor vehicle traffic","Pedal cyclist","Unintentional"
"E8137","Motor vehicle traffic","Pedestrian","Unintentional"
"E8138","Motor vehicle traffic",NA,"Unintentional"
"E8139","Motor vehicle traffic","Unspecified","Unintentional"
"E8140","Motor vehicle traffic","Occupant","Unintentional"
"E8141","Motor vehicle traffic","Occupant","Unintentional"
"E8142","Motor vehicle traffic","Motorcyclist","Unintentional"
"E8143","Motor vehicle traffic","Motorcyclist","Unintentional"
"E8144","Motor vehicle traffic",NA,"Unintentional"
"E8145","Motor vehicle traffic",NA,"Unintentional"
"E8146","Motor vehicle traffic","Pedal cyclist","Unintentional"
"E8147","Motor vehicle traffic","Pedestrian","Unintentional"
"E8148","Motor vehicle traffic",NA,"Unintentional"
"E8149","Motor vehicle traffic","Unspecified","Unintentional"
"E8150","Motor vehicle traffic","Occupant","Unintentional"
"E8151","Motor vehicle traffic","Occupant","Unintentional"
"E8152","Motor vehicle traffic","Motorcyclist","Unintentional"
"E8153","Motor vehicle traffic","Motorcyclist","Unintentional"
"E8154","Motor vehicle traffic",NA,"Unintentional"
"E8155","Motor vehicle traffic",NA,"Unintentional"
"E8156","Motor vehicle traffic","Pedal cyclist","Unintentional"
"E8157","Motor vehicle traffic","Pedestrian","Unintentional"
"E8158","Motor vehicle traffic",NA,"Unintentional"
"E8159","Motor vehicle traffic","Unspecified","Unintentional"
"E8160","Motor vehicle traffic","Occupant","Unintentional"
"E8161","Motor vehicle traffic","Occupant","Unintentional"
"E8162","Motor vehicle traffic","Motorcyclist","Unintentional"
"E8163","Motor vehicle traffic","Motorcyclist","Unintentional"
"E8164","Motor vehicle traffic",NA,"Unintentional"
"E8165","Motor vehicle traffic",NA,"Unintentional"
"E8166","Motor vehicle traffic","Pedal cyclist","Unintentional"
"E8167","Motor vehicle traffic","Pedestrian","Unintentional"
"E8168","Motor vehicle traffic",NA,"Unintentional"
"E8169","Motor vehicle traffic","Unspecified","Unintentional"
"E8170","Motor vehicle traffic","Occupant","Unintentional"
"E8171","Motor vehicle traffic","Occupant","Unintentional"
"E8172","Motor vehicle traffic","Motorcyclist","Unintentional"
"E8173","Motor vehicle traffic","Motorcyclist","Unintentional"
"E8174","Motor vehicle traffic",NA,"Unintentional"
"E8175","Motor vehicle traffic",NA,"Unintentional"
"E8176","Motor vehicle traffic","Pedal cyclist","Unintentional"
"E8177","Motor vehicle traffic","Pedestrian","Unintentional"
"E8178","Motor vehicle traffic",NA,"Unintentional"
"E8179","Motor vehicle traffic","Unspecified","Unintentional"
"E8180","Motor vehicle traffic","Occupant","Unintentional"
"E8181","Motor vehicle traffic","Occupant","Unintentional"
"E8182","Motor vehicle traffic","Motorcyclist","Unintentional"
"E8183","Motor vehicle traffic","Motorcyclist","Unintentional"
"E8184","Motor vehicle traffic",NA,"Unintentional"
"E8185","Motor vehicle traffic",NA,"Unintentional"
"E8186","Motor vehicle traffic","Pedal cyclist","Unintentional"
"E8187","Motor vehicle traffic","Pedestrian","Unintentional"
"E8188","Motor vehicle traffic",NA,"Unintentional"
"E8189","Motor vehicle traffic","Unspecified","Unintentional"
"E8190","Motor vehicle traffic","Occupant","Unintentional"
"E8191","Motor vehicle traffic","Occupant","Unintentional"
"E8192","Motor vehicle traffic","Motorcyclist","Unintentional"
"E8193","Motor vehicle traffic","Motorcyclist","Unintentional"
"E8194","Motor vehicle traffic",NA,"Unintentional"
"E8195","Motor vehicle traffic",NA,"Unintentional"
"E8196","Motor vehicle traffic","Pedal cyclist","Unintentional"
"E8197","Motor vehicle traffic","Pedestrian","Unintentional"
"E8198","Motor vehicle traffic",NA,"Unintentional"
"E8199","Motor vehicle traffic","Unspecified","Unintentional"
"E8200","Transport, other",NA,"Unintentional"
"E8201","Transport, other",NA,"Unintentional"
"E8202","Transport, other",NA,"Unintentional"
"E8203","Transport, other",NA,"Unintentional"
"E8204","Transport, other",NA,"Unintentional"
"E8205","Transport, other",NA,"Unintentional"
"E8206","Pedal cyclist, other",NA,"Unintentional"
"E8207","Pedestrian, other",NA,"Unintentional"
"E8208","Transport, other",NA,"Unintentional"
"E8209","Transport, other",NA,"Unintentional"
"E8210","Transport, other",NA,"Unintentional"
"E8211","Transport, other",NA,"Unintentional"
"E8212","Transport, other",NA,"Unintentional"
"E8213","Transport, other",NA,"Unintentional"
"E8214","Transport, other",NA,"Unintentional"
"E8215","Transport, other",NA,"Unintentional"
"E8216","Pedal cyclist, other",NA,"Unintentional"
"E8217","Pedestrian, other",NA,"Unintentional"
"E8218","Transport, other",NA,"Unintentional"
"E8219","Transport, other",NA,"Unintentional"
"E8220","Transport, other",NA,"Unintentional"
"E8221","Transport, other",NA,"Unintentional"
"E8222","Transport, other",NA,"Unintentional"
"E8223","Transport, other",NA,"Unintentional"
"E8224","Transport, other",NA,"Unintentional"
"E8225","Transport, other",NA,"Unintentional"
"E8226","Pedal cyclist, other",NA,"Unintentional"
"E8227","Pedestrian, other",NA,"Unintentional"
"E8228","Transport, other",NA,"Unintentional"
"E8229","Transport, other",NA,"Unintentional"
"E8230","Transport, other",NA,"Unintentional"
"E8231","Transport, other",NA,"Unintentional"
"E8232","Transport, other",NA,"Unintentional"
"E8233","Transport, other",NA,"Unintentional"
"E8234","Transport, other",NA,"Unintentional"
"E8235","Transport, other",NA,"Unintentional"
"E8236","Pedal cyclist, other",NA,"Unintentional"
"E8237","Pedestrian, other",NA,"Unintentional"
"E8238","Transport, other",NA,"Unintentional"
"E8239","Transport, other",NA,"Unintentional"
"E8240","Transport, other",NA,"Unintentional"
"E8241","Transport, other",NA,"Unintentional"
"E8242","Transport, other",NA,"Unintentional"
"E8243","Transport, other",NA,"Unintentional"
"E8244","Transport, other",NA,"Unintentional"
"E8245","Transport, other",NA,"Unintentional"
"E8246","Pedal cyclist, other",NA,"Unintentional"
"E8247","Pedestrian, other",NA,"Unintentional"
"E8248","Transport, other",NA,"Unintentional"
"E8249","Transport, other",NA,"Unintentional"
"E8250","Transport, other",NA,"Unintentional"
"E8251","Transport, other",NA,"Unintentional"
"E8252","Transport, other",NA,"Unintentional"
"E8253","Transport, other",NA,"Unintentional"
"E8254","Transport, other",NA,"Unintentional"
"E8255","Transport, other",NA,"Unintentional"
"E8256","Pedal cyclist, other",NA,"Unintentional"
"E8257","Pedestrian, other",NA,"Unintentional"
"E8258","Transport, other",NA,"Unintentional"
"E8259","Transport, other",NA,"Unintentional"
"E8260","Pedestrian, other",NA,"Unintentional"
"E8261","Pedal cyclist, other",NA,"Unintentional"
"E8262","Transport, other",NA,"Unintentional"
"E8263","Transport, other",NA,"Unintentional"
"E8264","Transport, other",NA,"Unintentional"
"E8268","Transport, other",NA,"Unintentional"
"E8269","Pedal cyclist, other",NA,"Unintentional"
"E8270","Pedestrian, other",NA,"Unintentional"
"E8272","Transport, other",NA,"Unintentional"
"E8273","Transport, other",NA,"Unintentional"
"E8274","Transport, other",NA,"Unintentional"
"E8278","Transport, other",NA,"Unintentional"
"E8279","Transport, other",NA,"Unintentional"
"E8280","Pedestrian, other",NA,"Unintentional"
"E8282","Transport, other",NA,"Unintentional"
"E8284","Transport, other",NA,"Unintentional"
"E8288","Transport, other",NA,"Unintentional"
"E8289","Transport, other",NA,"Unintentional"
"E8290","Pedestrian, other",NA,"Unintentional"
"E8294","Transport, other",NA,"Unintentional"
"E8298","Transport, other",NA,"Unintentional"
"E8299","Transport, other",NA,"Unintentional"
"E8300","Drowning/submersion",NA,"Unintentional"
"E8301","Drowning/submersion",NA,"Unintentional"
"E8302","Drowning/submersion",NA,"Unintentional"
"E8303","Drowning/submersion",NA,"Unintentional"
"E8304","Drowning/submersion",NA,"Unintentional"
"E8305","Drowning/submersion",NA,"Unintentional"
"E8306","Drowning/submersion",NA,"Unintentional"
"E8308","Drowning/submersion",NA,"Unintentional"
"E8309","Drowning/submersion",NA,"Unintentional"
"E8310","Transport, other",NA,"Unintentional"
"E8311","Transport, other",NA,"Unintentional"
"E8312","Transport, other",NA,"Unintentional"
"E8313","Transport, other",NA,"Unintentional"
"E8314","Transport, other",NA,"Unintentional"
"E8315","Transport, other",NA,"Unintentional"
"E8316","Transport, other",NA,"Unintentional"
"E8318","Transport, other",NA,"Unintentional"
"E8319","Transport, other",NA,"Unintentional"
"E8320","Drowning/submersion",NA,"Unintentional"
"E8321","Drowning/submersion",NA,"Unintentional"
"E8322","Drowning/submersion",NA,"Unintentional"
"E8323","Drowning/submersion",NA,"Unintentional"
"E8324","Drowning/submersion",NA,"Unintentional"
"E8325","Drowning/submersion",NA,"Unintentional"
"E8326","Drowning/submersion",NA,"Unintentional"
"E8328","Drowning/submersion",NA,"Unintentional"
"E8329","Drowning/submersion",NA,"Unintentional"
"E8330","Transport, other",NA,"Unintentional"
"E8331","Transport, other",NA,"Unintentional"
"E8332","Transport, other",NA,"Unintentional"
"E8333","Transport, other",NA,"Unintentional"
"E8334","Transport, other",NA,"Unintentional"
"E8335","Transport, other",NA,"Unintentional"
"E8336","Transport, other",NA,"Unintentional"
"E8338","Transport, other",NA,"Unintentional"
"E8339","Transport, other",NA,"Unintentional"
"E8340","Transport, other",NA,"Unintentional"
"E8341","Transport, other",NA,"Unintentional"
"E8342","Transport, other",NA,"Unintentional"
"E8343","Transport, other",NA,"Unintentional"
"E8344","Transport, other",NA,"Unintentional"
"E8345","Transport, other",NA,"Unintentional"
"E8346","Transport, other",NA,"Unintentional"
"E8348","Transport, other",NA,"Unintentional"
"E8349","Transport, other",NA,"Unintentional"
"E8350","Transport, other",NA,"Unintentional"
"E8351","Transport, other",NA,"Unintentional"
"E8352","Transport, other",NA,"Unintentional"
"E8353","Transport, other",NA,"Unintentional"
"E8354","Transport, other",NA,"Unintentional"
"E8355","Transport, other",NA,"Unintentional"
"E8356","Transport, other",NA,"Unintentional"
"E8358","Transport, other",NA,"Unintentional"
"E8359","Transport, other",NA,"Unintentional"
"E8360","Transport, other",NA,"Unintentional"
"E8361","Transport, other",NA,"Unintentional"
"E8362","Transport, other",NA,"Unintentional"
"E8363","Transport, other",NA,"Unintentional"
"E8364","Transport, other",NA,"Unintentional"
"E8365","Transport, other",NA,"Unintentional"
"E8366","Transport, other",NA,"Unintentional"
"E8368","Transport, other",NA,"Unintentional"
"E8369","Transport, other",NA,"Unintentional"
"E8370","Transport, other",NA,"Unintentional"
"E8371","Transport, other",NA,"Unintentional"
"E8372","Transport, other",NA,"Unintentional"
"E8373","Transport, other",NA,"Unintentional"
"E8374","Transport, other",NA,"Unintentional"
"E8375","Transport, other",NA,"Unintentional"
"E8376","Transport, other",NA,"Unintentional"
"E8378","Transport, other",NA,"Unintentional"
"E8379","Transport, other",NA,"Unintentional"
"E8380","Transport, other",NA,"Unintentional"
"E8381","Transport, other",NA,"Unintentional"
"E8382","Transport, other",NA,"Unintentional"
"E8383","Transport, other",NA,"Unintentional"
"E8384","Transport, other",NA,"Unintentional"
"E8385","Transport, other",NA,"Unintentional"
"E8386","Transport, other",NA,"Unintentional"
"E8388","Transport, other",NA,"Unintentional"
"E8389","Transport, other",NA,"Unintentional"
"E8400","Transport, other",NA,"Unintentional"
"E8401","Transport, other",NA,"Unintentional"
"E8402","Transport, other",NA,"Unintentional"
"E8403","Transport, other",NA,"Unintentional"
"E8404","Transport, other",NA,"Unintentional"
"E8405","Transport, other",NA,"Unintentional"
"E8406","Transport, other",NA,"Unintentional"
"E8407","Transport, other",NA,"Unintentional"
"E8408","Transport, other",NA,"Unintentional"
"E8409","Transport, other",NA,"Unintentional"
"E8410","Transport, other",NA,"Unintentional"
"E8411","Transport, other",NA,"Unintentional"
"E8412","Transport, other",NA,"Unintentional"
"E8413","Transport, other",NA,"Unintentional"
"E8414","Transport, other",NA,"Unintentional"
"E8415","Transport, other",NA,"Unintentional"
"E8416","Transport, other",NA,"Unintentional"
"E8417","Transport, other",NA,"Unintentional"
"E8418","Transport, other",NA,"Unintentional"
"E8419","Transport, other",NA,"Unintentional"
"E8426","Transport, other",NA,"Unintentional"
"E8427","Transport, other",NA,"Unintentional"
"E8428","Transport, other",NA,"Unintentional"
"E8429","Transport, other",NA,"Unintentional"
"E8430","Transport, other",NA,"Unintentional"
"E8431","Transport, other",NA,"Unintentional"
"E8432","Transport, other",NA,"Unintentional"
"E8433","Transport, other",NA,"Unintentional"
"E8434","Transport, other",NA,"Unintentional"
"E8435","Transport, other",NA,"Unintentional"
"E8436","Transport, other",NA,"Unintentional"
"E8437","Transport, other",NA,"Unintentional"
"E8438","Transport, other",NA,"Unintentional"
"E8439","Transport, other",NA,"Unintentional"
"E8440","Transport, other",NA,"Unintentional"
"E8441","Transport, other",NA,"Unintentional"
"E8442","Transport, other",NA,"Unintentional"
"E8443","Transport, other",NA,"Unintentional"
"E8444","Transport, other",NA,"Unintentional"
"E8445","Transport, other",NA,"Unintentional"
"E8446","Transport, other",NA,"Unintentional"
"E8447","Transport, other",NA,"Unintentional"
"E8448","Transport, other",NA,"Unintentional"
"E8449","Transport, other",NA,"Unintentional"
"E8450","Transport, other",NA,"Unintentional"
"E8458","Transport, other",NA,"Unintentional"
"E8459","Transport, other",NA,"Unintentional"
"E846","Other specified, classifiable",NA,"Unintentional"
"E847","Other specified, classifiable",NA,"Unintentional"
"E848","Other specified, classifiable",NA,"Unintentional"
"E8500","Poisoning",NA,"Unintentional"
"E8501","Poisoning",NA,"Unintentional"
"E8502","Poisoning",NA,"Unintentional"
"E8503","Poisoning",NA,"Unintentional"
"E8504","Poisoning",NA,"Unintentional"
"E8505","Poisoning",NA,"Unintentional"
"E8506","Poisoning",NA,"Unintentional"
"E8507","Poisoning",NA,"Unintentional"
"E8508","Poisoning",NA,"Unintentional"
"E8509","Poisoning",NA,"Unintentional"
"E851","Poisoning",NA,"Unintentional"
"E8520","Poisoning",NA,"Unintentional"
"E8521","Poisoning",NA,"Unintentional"
"E8522","Poisoning",NA,"Unintentional"
"E8523","Poisoning",NA,"Unintentional"
"E8524","Poisoning",NA,"Unintentional"
"E8525","Poisoning",NA,"Unintentional"
"E8528","Poisoning",NA,"Unintentional"
"E8529","Poisoning",NA,"Unintentional"
"E8530","Poisoning",NA,"Unintentional"
"E8531","Poisoning",NA,"Unintentional"
"E8532","Poisoning",NA,"Unintentional"
"E8538","Poisoning",NA,"Unintentional"
"E8539","Poisoning",NA,"Unintentional"
"E8540","Poisoning",NA,"Unintentional"
"E8541","Poisoning",NA,"Unintentional"
"E8542","Poisoning",NA,"Unintentional"
"E8543","Poisoning",NA,"Unintentional"
"E8548","Poisoning",NA,"Unintentional"
"E8550","Poisoning",NA,"Unintentional"
"E8551","Poisoning",NA,"Unintentional"
"E8552","Poisoning",NA,"Unintentional"
"E8553","Poisoning",NA,"Unintentional"
"E8554","Poisoning",NA,"Unintentional"
"E8555","Poisoning",NA,"Unintentional"
"E8556","Poisoning",NA,"Unintentional"
"E8558","Poisoning",NA,"Unintentional"
"E8559","Poisoning",NA,"Unintentional"
"E856","Poisoning",NA,"Unintentional"
"E857","Poisoning",NA,"Unintentional"
"E8580","Poisoning",NA,"Unintentional"
"E8581","Poisoning",NA,"Unintentional"
"E8582","Poisoning",NA,"Unintentional"
"E8583","Poisoning",NA,"Unintentional"
"E8584","Poisoning",NA,"Unintentional"
"E8585","Poisoning",NA,"Unintentional"
"E8586","Poisoning",NA,"Unintentional"
"E8587","Poisoning",NA,"Unintentional"
"E8588","Poisoning",NA,"Unintentional"
"E8589","Poisoning",NA,"Unintentional"
"E8600","Poisoning",NA,"Unintentional"
"E8601","Poisoning",NA,"Unintentional"
"E8602","Poisoning",NA,"Unintentional"
"E8603","Poisoning",NA,"Unintentional"
"E8604","Poisoning",NA,"Unintentional"
"E8608","Poisoning",NA,"Unintentional"
"E8609","Poisoning",NA,"Unintentional"
"E8610","Poisoning",NA,"Unintentional"
"E8611","Poisoning",NA,"Unintentional"
"E8612","Poisoning",NA,"Unintentional"
"E8613","Poisoning",NA,"Unintentional"
"E8614","Poisoning",NA,"Unintentional"
"E8615","Poisoning",NA,"Unintentional"
"E8616","Poisoning",NA,"Unintentional"
"E8619","Poisoning",NA,"Unintentional"
"E8620","Poisoning",NA,"Unintentional"
"E8621","Poisoning",NA,"Unintentional"
"E8622","Poisoning",NA,"Unintentional"
"E8623","Poisoning",NA,"Unintentional"
"E8624","Poisoning",NA,"Unintentional"
"E8629","Poisoning",NA,"Unintentional"
"E8630","Poisoning",NA,"Unintentional"
"E8631","Poisoning",NA,"Unintentional"
"E8632","Poisoning",NA,"Unintentional"
"E8633","Poisoning",NA,"Unintentional"
"E8634","Poisoning",NA,"Unintentional"
"E8635","Poisoning",NA,"Unintentional"
"E8636","Poisoning",NA,"Unintentional"
"E8637","Poisoning",NA,"Unintentional"
"E8638","Poisoning",NA,"Unintentional"
"E8639","Poisoning",NA,"Unintentional"
"E8640","Poisoning",NA,"Unintentional"
"E8641","Poisoning",NA,"Unintentional"
"E8642","Poisoning",NA,"Unintentional"
"E8643","Poisoning",NA,"Unintentional"
"E8644","Poisoning",NA,"Unintentional"
"E8650","Poisoning",NA,"Unintentional"
"E8651","Poisoning",NA,"Unintentional"
"E8652","Poisoning",NA,"Unintentional"
"E8653","Poisoning",NA,"Unintentional"
"E8654","Poisoning",NA,"Unintentional"
"E8655","Poisoning",NA,"Unintentional"
"E8658","Poisoning",NA,"Unintentional"
"E8659","Poisoning",NA,"Unintentional"
"E8660","Poisoning",NA,"Unintentional"
"E8661","Poisoning",NA,"Unintentional"
"E8662","Poisoning",NA,"Unintentional"
"E8663","Poisoning",NA,"Unintentional"
"E8664","Poisoning",NA,"Unintentional"
"E8665","Poisoning",NA,"Unintentional"
"E8666","Poisoning",NA,"Unintentional"
"E8667","Poisoning",NA,"Unintentional"
"E8668","Poisoning",NA,"Unintentional"
"E8669","Poisoning",NA,"Unintentional"
"E867","Poisoning",NA,"Unintentional"
"E8680","Poisoning",NA,"Unintentional"
"E8681","Poisoning",NA,"Unintentional"
"E8682","Poisoning",NA,"Unintentional"
"E8683","Poisoning",NA,"Unintentional"
"E8688","Poisoning",NA,"Unintentional"
"E8689","Poisoning",NA,"Unintentional"
"E8690","Poisoning",NA,"Unintentional"
"E8691","Poisoning",NA,"Unintentional"
"E8692","Poisoning",NA,"Unintentional"
"E8693","Poisoning",NA,"Unintentional"
"E8694","Poisoning",NA,"Unintentional"
"E8698","Poisoning",NA,"Unintentional"
"E8699","Poisoning",NA,"Unintentional"
"E8700","Adverse effects","Medical care","Other"
"E8701","Adverse effects","Medical care","Other"
"E8702","Adverse effects","Medical care","Other"
"E8703","Adverse effects","Medical care","Other"
"E8704","Adverse effects","Medical care","Other"
"E8705","Adverse effects","Medical care","Other"
"E8706","Adverse effects","Medical care","Other"
"E8707","Adverse effects","Medical care","Other"
"E8708","Adverse effects","Medical care","Other"
"E8709","Adverse effects","Medical care","Other"
"E8710","Adverse effects","Medical care","Other"
"E8711","Adverse effects","Medical care","Other"
"E8712","Adverse effects","Medical care","Other"
"E8713","Adverse effects","Medical care","Other"
"E8714","Adverse effects","Medical care","Other"
"E8715","Adverse effects","Medical care","Other"
"E8716","Adverse effects","Medical care","Other"
"E8717","Adverse effects","Medical care","Other"
"E8718","Adverse effects","Medical care","Other"
"E8719","Adverse effects","Medical care","Other"
"E8720","Adverse effects","Medical care","Other"
"E8721","Adverse effects","Medical care","Other"
"E8722","Adverse effects","Medical care","Other"
"E8723","Adverse effects","Medical care","Other"
"E8724","Adverse effects","Medical care","Other"
"E8725","Adverse effects","Medical care","Other"
"E8726","Adverse effects","Medical care","Other"
"E8728","Adverse effects","Medical care","Other"
"E8729","Adverse effects","Medical care","Other"
"E8730","Adverse effects","Medical care","Other"
"E8731","Adverse effects","Medical care","Other"
"E8732","Adverse effects","Medical care","Other"
"E8733","Adverse effects","Medical care","Other"
"E8734","Adverse effects","Medical care","Other"
"E8735","Adverse effects","Medical care","Other"
"E8736","Adverse effects","Medical care","Other"
"E8738","Adverse effects","Medical care","Other"
"E8739","Adverse effects","Medical care","Other"
"E8740","Adverse effects","Medical care","Other"
"E8741","Adverse effects","Medical care","Other"
"E8742","Adverse effects","Medical care","Other"
"E8743","Adverse effects","Medical care","Other"
"E8744","Adverse effects","Medical care","Other"
"E8745","Adverse effects","Medical care","Other"
"E8748","Adverse effects","Medical care","Other"
"E8749","Adverse effects","Medical care","Other"
"E8750","Adverse effects","Medical care","Other"
"E8751","Adverse effects","Medical care","Other"
"E8752","Adverse effects","Medical care","Other"
"E8758","Adverse effects","Medical care","Other"
"E8759","Adverse effects","Medical care","Other"
"E8760","Adverse effects","Medical care","Other"
"E8761","Adverse effects","Medical care","Other"
"E8762","Adverse effects","Medical care","Other"
"E8763","Adverse effects","Medical care","Other"
"E8764","Adverse effects","Medical care","Other"
"E8765","Adverse effects","Medical care","Other"
"E8768","Adverse effects","Medical care","Other"
"E8769","Adverse effects","Medical care","Other"
"E8780","Adverse effects","Medical care","Other"
"E8781","Adverse effects","Medical care","Other"
"E8782","Adverse effects","Medical care","Other"
"E8783","Adverse effects","Medical care","Other"
"E8784","Adverse effects","Medical care","Other"
"E8785","Adverse effects","Medical care","Other"
"E8786","Adverse effects","Medical care","Other"
"E8788","Adverse effects","Medical care","Other"
"E8789","Adverse effects","Medical care","Other"
"E8790","Adverse effects","Medical care","Other"
"E8791","Adverse effects","Medical care","Other"
"E8792","Adverse effects","Medical care","Other"
"E8793","Adverse effects","Medical care","Other"
"E8794","Adverse effects","Medical care","Other"
"E8795","Adverse effects","Medical care","Other"
"E8796","Adverse effects","Medical care","Other"
"E8797","Adverse effects","Medical care","Other"
"E8798","Adverse effects","Medical care","Other"
"E8799","Adverse effects","Medical care","Other"
"E8800","Fall",NA,"Unintentional"
"E8801","Fall",NA,"Unintentional"
"E8809","Fall",NA,"Unintentional"
"E8810","Fall",NA,"Unintentional"
"E8811","Fall",NA,"Unintentional"
"E882","Fall",NA,"Unintentional"
"E8830","Fall",NA,"Unintentional"
"E8831","Fall",NA,"Unintentional"
"E8832","Fall",NA,"Unintentional"
"E8839","Fall",NA,"Unintentional"
"E8840","Fall",NA,"Unintentional"
"E8841","Fall",NA,"Unintentional"
"E8842","Fall",NA,"Unintentional"
"E8843","Fall",NA,"Unintentional"
"E8844","Fall",NA,"Unintentional"
"E8845","Fall",NA,"Unintentional"
"E8846","Fall",NA,"Unintentional"
"E8849","Fall",NA,"Unintentional"
"E885","Fall",NA,"Unintentional"
"E8850","Fall",NA,"Unintentional"
"E8851","Fall",NA,"Unintentional"
"E8852","Fall",NA,"Unintentional"
"E8853","Fall",NA,"Unintentional"
"E8854","Fall",NA,"Unintentional"
"E8859","Fall",NA,"Unintentional"
"E8860","Fall",NA,"Unintentional"
"E8869","Fall",NA,"Unintentional"
"E887","Unspecified",NA,"Unintentional"
"E888","Fall",NA,"Unintentional"
"E8880","Fall",NA,"Unintentional"
"E8881","Fall",NA,"Unintentional"
"E8888","Fall",NA,"Unintentional"
"E8889","Fall",NA,"Unintentional"
"E8900","Fire/burn","Fire/flame","Unintentional"
"E8901","Fire/burn","Fire/flame","Unintentional"
"E8902","Fire/burn","Fire/flame","Unintentional"
"E8903","Fire/burn","Fire/flame","Unintentional"
"E8908","Fire/burn","Fire/flame","Unintentional"
"E8909","Fire/burn","Fire/flame","Unintentional"
"E8910","Fire/burn","Fire/flame","Unintentional"
"E8911","Fire/burn","Fire/flame","Unintentional"
"E8912","Fire/burn","Fire/flame","Unintentional"
